,ticker,SIC,Four Digit SIC Codes,Four Digit SIC Code Descriptions,SIC Two Digit,Two Digit SIC Codes,Two Digit SIC Code Descriptions
1894,INDL,0,,,0,,
1895,GGN,6799,6799.0,"INVESTORS, NEC",67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
1896,DCGO,0,,,0,,
1897,TLTW,0,,,0,,
1898,TIPZ,0,,,0,,
1899,WKEY,0,,,0,,
1900,DE,3523,3523.0,FARM MACHINERY AND EQUIPMENT,35,35.0,INDUSTRIAL AND COMMERCIAL MACHINERY AND COMPUTER EQUIPMENT
1901,AXSM,2834,2834.0,PHARMACEUTICAL PREPARATIONS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
1902,ASPS,0,,,0,,
1903,HYI,6282,6282.0,INVESTMENT ADVICE,62,62.0,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES"
1904,WPC,6798,6798.0,REAL ESTATE INVESTMENT TRUSTS,67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
1905,KRP,1311,1311.0,CRUDE PETROLEUM AND NATURAL GAS,13,13.0,OIL AND GAS EXTRACTION
1906,AEG,0,,,0,,
1907,BMA,0,,,0,,
1908,VINE,0,,,0,,
1909,AMS,8071,8071.0,MEDICAL LABORATORIES,80,80.0,HEALTH SERVICES
1910,EIDO,0,,,0,,
1911,TALO,0,,,0,,
1912,AVB,6798,6798.0,REAL ESTATE INVESTMENT TRUSTS,67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
1913,XP,0,,,0,,
1914,INM,0,,,0,,
1915,HFRO,6799,6799.0,"INVESTORS, NEC",67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
1916,APO,6282,6282.0,INVESTMENT ADVICE,62,62.0,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES"
1917,SCTL,0,,,0,,
1918,EDOC,0,,,0,,
1919,EPRF,0,,,0,,
1920,BBJP,0,,,0,,
1921,HOG,3751,3751.0,"MOTORCYCLES, BICYCLES, AND PARTS",37,37.0,TRANSPORTATION EQUIPMENT
1922,AJX,6798,6798.0,REAL ESTATE INVESTMENT TRUSTS,67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
1923,FTHY,0,,,0,,
1924,BSAC,6029,6029.0,"COMMERCIAL BANKS, NEC",60,60.0,DEPOSITORY INSTITUTIONS
1925,UFCS,6331,6331.0,"FIRE, MARINE, AND CASUALTY INSURANCE",63,63.0,INSURANCE CARRIERS
1926,DFEM,0,,,0,,
1927,GLYC,2834,2834.0,PHARMACEUTICAL PREPARATIONS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
1928,GCC,6726,6726.0,"INVESTMENT OFFICES, NEC",67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
1929,DLY,0,,,0,,
1930,CTM,0,,,0,,
1931,PLSE,3841,3841.0,SURGICAL AND MEDICAL INSTRUMENTS,38,38.0,MESR/ANLYZ/CNTRL INSTRMNTS; PHOTO/MED/OPT GDS; WATCHS/CLOCKS
1932,TWOpA,0,,,0,,
1933,IEX,3561,3561.0,PUMPS AND PUMPING EQUIPMENT,35,35.0,INDUSTRIAL AND COMMERCIAL MACHINERY AND COMPUTER EQUIPMENT
1934,NGVC,5411,5411.0,GROCERY STORES,54,54.0,FOOD STORES
1935,SPRU,0,,,0,,
1936,FFNW,6036,6036.0,"SAVINGS INSTITUTIONS, EXCEPT FEDERAL",60,60.0,DEPOSITORY INSTITUTIONS
1937,CMRA,0,,,0,,
1938,ACDI,0,,,0,,
1939,XM,0,,,0,,
1940,EWS,0,,,0,,
1941,GCOW,0,,,0,,
1942,HCP,6798,6798.0,REAL ESTATE INVESTMENT TRUSTS,67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
1943,WCC,5063,5063.0,ELECTRICAL APPARATUS AND EQUIPMENT,50,50.0,WHOLESALE TRADE - DURABLE GOODS
1944,ANGO,3841,3841.0,SURGICAL AND MEDICAL INSTRUMENTS,38,38.0,MESR/ANLYZ/CNTRL INSTRMNTS; PHOTO/MED/OPT GDS; WATCHS/CLOCKS
1945,DWAC,0,,,0,,
1946,SFpB,0,,,0,,
1947,MARA,6794,6794.0,PATENT OWNERS AND LESSORS,67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
1948,GOF,6799,6799.0,"INVESTORS, NEC",67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
1949,EWL,0,,,0,,
1950,TYD,0,,,0,,
1951,DOW,2821,2821.0,PLASTICS MATERIALS AND RESINS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
1952,KEP,3612,3612.0,"TRANSFORMERS, EXCEPT ELECTRIC",36,36.0,"ELECTRONIC, ELCTRCL EQPMNT & CMPNTS, EXCPT COMPUTER EQPMNT"
1953,MYPS,0,,,0,,
1954,PRTA,2834,2834.0,PHARMACEUTICAL PREPARATIONS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
1955,MATV,0,,,0,,
1956,EGGF,0,,,0,,
1957,PEGY,0,,,0,,
1958,CHIQ,0,,,0,,
1959,MRAI,0,,,0,,
1960,EPAC,0,,,0,,
1961,FTSL,0,,,0,,
1962,UWMC,0,,,0,,
1963,BSJP,0,,,0,,
1964,APP,0,,,0,,
1965,BLND,0,,,0,,
1966,AKLI,0,,,0,,
1967,RITMpD,0,,,0,,
1968,STAA,3851,3851.0,OPHTHALMIC GOODS,38,38.0,MESR/ANLYZ/CNTRL INSTRMNTS; PHOTO/MED/OPT GDS; WATCHS/CLOCKS
1969,AOGOW,0,,,0,,
1970,NHC,8051,8051.0,SKILLED NURSING CARE FACILITIES,80,80.0,HEALTH SERVICES
1971,HFFG,0,,,0,,
1972,LUV,4512,4512.0,"AIR TRANSPORTATION, SCHEDULED",45,45.0,TRANSPORTATION BY AIR
1973,TWO,6798,6798.0,REAL ESTATE INVESTMENT TRUSTS,67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
1974,SRG,6798,6798.0,REAL ESTATE INVESTMENT TRUSTS,67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
1975,OGIG,0,,,0,,
1976,SXTC,0,,,0,,
1977,ZKIN,0,,,0,,
1978,AEP,4911,4911.0,ELECTRIC SERVICES,49,49.0,"ELECTRIC, GAS AND SANITARY SERVICES"
1979,LNW,0,,,0,,
1980,CING,0,,,0,,
1981,FSMD,0,,,0,,
1982,FDLO,0,,,0,,
1983,VVV,2992,2992.0,LUBRICATING OILS AND GREASES,29,29.0,PETROLEUM REFINING AND RELATED INDUSTRIES
1984,PRE,6321,6321.0,ACCIDENT AND HEALTH INSURANCE,63,63.0,INSURANCE CARRIERS
1985,PMCB,0,,,0,,
1986,SCD,6733,6733.0,"TRUSTS, NEC",67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
1987,CVNA,5521,5521.0,USED CAR DEALERS,55,55.0,AUTOMOTIVE DEALERS AND GASOLINE SERVICE STATIONS
1988,BACpQ,0,,,0,,
1989,SCHA,0,,,0,,
1990,SOHO,6798,6798.0,REAL ESTATE INVESTMENT TRUSTS,67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
1991,GNMA,0,,,0,,
1992,EXLS,7389,7389.0,"BUSINESS SERVICES, NEC",73,73.0,BUSINESS SERVICES
1993,VKTX,2834,2834.0,PHARMACEUTICAL PREPARATIONS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
1994,SXT,2869,2869.0,"INDUSTRIAL ORGANIC CHEMICALS, NEC",28,28.0,CHEMICALS AND ALLIED PRODUCTS
1995,PICK,0,,,0,,
1996,GEO,6798,6798.0,REAL ESTATE INVESTMENT TRUSTS,67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
1997,VMC,1442,1442.0,CONSTRUCTION SAND AND GRAVEL,14,14.0,"MINING AND QUARRYING OF NONMETALLIC MINERALS, EXCEPT FUELS"
1998,GMREpA,0,,,0,,
1999,AX,0,,,0,,
2000,ITCI,2834,2834.0,PHARMACEUTICAL PREPARATIONS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
2001,SFIX,5961,5961.0,CATALOG AND MAIL-ORDER HOUSES,59,59.0,MISCELLANEOUS RETAIL
2002,BUI,6733,6733.0,"TRUSTS, NEC",67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
2003,PFX,0,,,0,,
2004,PRMW,5141,5141.0,"GROCERIES, GENERAL LINE",51,51.0,WHOLESALE TRADE - NONDURABLE GOODS
2005,VOYApB,0,,,0,,
2006,LSI,6798,6798.0,REAL ESTATE INVESTMENT TRUSTS,67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
2007,SHYD,0,,,0,,
2008,CCO,7312,7312.0,OUTDOOR ADVERTISING SERVICES,73,73.0,BUSINESS SERVICES
2009,TZA,0,,,0,,
2010,GAM,0,,,0,,
2011,TOUR,0,,,0,,
2012,OII,1389,1389.0,"OIL AND GAS FIELD SERVICES, NEC",13,13.0,OIL AND GAS EXTRACTION
2013,GBCI,6022,6022.0,STATE COMMERCIAL BANKS,60,60.0,DEPOSITORY INSTITUTIONS
2014,GSAT,4899,4899.0,"COMMUNICATION SERVICES, NEC",48,48.0,COMMUNICATIONS
2015,CPRI,0,,,0,,
2016,CPARW,0,,,0,,
2017,AVO,0,,,0,,
2018,NREF,0,,,0,,
2019,GDXU,0,,,0,,
2020,DIVO,0,,,0,,
2021,SPHB,0,,,0,,
2022,NRAC,0,,,0,,
2023,PSEC,6799,6799.0,"INVESTORS, NEC",67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
2024,LCI,2834,2834.0,PHARMACEUTICAL PREPARATIONS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
2025,SVC,0,,,0,,
2026,PTLO,0,,,0,,
2027,CVGW,0,,,0,,
2028,RXST,0,,,0,,
2029,KRNT,0,,,0,,
2030,EYEN,2834,2834.0,PHARMACEUTICAL PREPARATIONS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
2031,SLDP,0,,,0,,
2032,TMUS,4812,4812.0,RADIOTELEPHONE COMMUNICATION,48,48.0,COMMUNICATIONS
2033,VIGI,0,,,0,,
2034,ESTA,0,,,0,,
2035,VB,0,,,0,,
2036,BBCP,0,,,0,,
2037,GRCL,0,,,0,,
2038,SLI,3679,3679.0,"ELECTRONIC COMPONENTS, NEC",36,36.0,"ELECTRONIC, ELCTRCL EQPMNT & CMPNTS, EXCPT COMPUTER EQPMNT"
2039,GMED,3841,3841.0,SURGICAL AND MEDICAL INSTRUMENTS,38,38.0,MESR/ANLYZ/CNTRL INSTRMNTS; PHOTO/MED/OPT GDS; WATCHS/CLOCKS
2040,PMTpB,0,,,0,,
2041,MGRB,0,,,0,,
2042,MSpO,0,,,0,,
2043,ABSI,0,,,0,,
2044,SPYV,0,,,0,,
2045,AP,3561,3561.0,PUMPS AND PUMPING EQUIPMENT,35,35.0,INDUSTRIAL AND COMMERCIAL MACHINERY AND COMPUTER EQUIPMENT
2046,REE,0,,,0,,
2047,INDI,0,,,0,,
2048,DAR,7389,7389.0,"BUSINESS SERVICES, NEC",73,73.0,BUSINESS SERVICES
2049,KAVL,0,,,0,,
2050,MSpF,0,,,0,,
2051,GXC,0,,,0,,
2052,NFBK,6022,6022.0,STATE COMMERCIAL BANKS,60,60.0,DEPOSITORY INSTITUTIONS
2053,AYTU,8299,8299.0,SCHOOLS AND EDUCATIONAL SERVICES,82,82.0,EDUCATIONAL SERVICES
2054,INPX,7372,7372.0,PREPACKAGED SOFTWARE,73,73.0,BUSINESS SERVICES
2055,SLRX,0,,,0,,
2056,OCFC,6035,6035.0,FEDERAL SAVINGS INSTITUTIONS,60,60.0,DEPOSITORY INSTITUTIONS
2057,ADP,7389,7389.0,"BUSINESS SERVICES, NEC",73,73.0,BUSINESS SERVICES
2058,ONEQ,0,,,0,,
2059,EVAX,0,,,0,,
2060,YY,0,,,0,,
2061,JSD,6726,6726.0,"INVESTMENT OFFICES, NEC",67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
2062,REKR,0,,,0,,
2063,CULL,0,,,0,,
2064,MNM,0,,,0,,
2065,GBAB,6282,6282.0,INVESTMENT ADVICE,62,62.0,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES"
2066,CFMS,3841,3841.0,SURGICAL AND MEDICAL INSTRUMENTS,38,38.0,MESR/ANLYZ/CNTRL INSTRMNTS; PHOTO/MED/OPT GDS; WATCHS/CLOCKS
2067,MUFG,0,,,0,,
2068,OC,3291,3291.0,ABRASIVE PRODUCTS,32,32.0,"STONE, CLAY, GLASS, AND CONCRETE PRODUCTS"
2069,ANIX,0,,,0,,
2070,ATNF,0,,,0,,
2071,KN,3651,3651.0,HOUSEHOLD AUDIO AND VIDEO EQUIPMENT,36,36.0,"ELECTRONIC, ELCTRCL EQPMNT & CMPNTS, EXCPT COMPUTER EQPMNT"
2072,IUSB,0,,,0,,
2073,CFFN,6035,6035.0,FEDERAL SAVINGS INSTITUTIONS,60,60.0,DEPOSITORY INSTITUTIONS
2074,CAMT,0,,,0,,
2075,DNP,6282,6282.0,INVESTMENT ADVICE,62,62.0,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES"
2076,BIPC,0,,,0,,
2077,FOUR,0,,,0,,
2078,TIL,0,,,0,,
2079,JUPW,0,,,0,,
2080,IFN,6799,6799.0,"INVESTORS, NEC",67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
2081,ITRI,3825,3825.0,INSTRUMENTS TO MEASURE ELECTRICITY,38,38.0,MESR/ANLYZ/CNTRL INSTRMNTS; PHOTO/MED/OPT GDS; WATCHS/CLOCKS
2082,NLSP,0,,,0,,
2083,BBCA,0,,,0,,
2084,AGM,6111,6111.0,FEDERAL AND FEDERALLY SPONSORED CREDIT,61,61.0,NONDEPOSITORY CREDIT INSTITUTIONS
2085,KRYS,2836,2836.0,"BIOLOGICAL PRODUCTS, EXCEPT DIAGNOSTIC",28,28.0,CHEMICALS AND ALLIED PRODUCTS
2086,PRPH,2834,2834.0,PHARMACEUTICAL PREPARATIONS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
2087,ADES,2899,2899.0,"CHEMICAL PREPARATIONS, NEC",28,28.0,CHEMICALS AND ALLIED PRODUCTS
2088,FSM,0,,,0,,
2089,KVSC,0,,,0,,
2090,EIC,0,,,0,,
2091,MRCC,6282,6282.0,INVESTMENT ADVICE,62,62.0,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES"
2092,MBIO,2836,2836.0,"BIOLOGICAL PRODUCTS, EXCEPT DIAGNOSTIC",28,28.0,CHEMICALS AND ALLIED PRODUCTS
2093,IEUR,0,,,0,,
2094,VTWV,0,,,0,,
2095,SVFD,0,,,0,,
2096,MORF,0,,,0,,
2097,AUUD,0,,,0,,
2098,MCY,6331,6331.0,"FIRE, MARINE, AND CASUALTY INSURANCE",63,63.0,INSURANCE CARRIERS
2099,TRIB,2835,2835.0,DIAGNOSTIC SUBSTANCES,28,28.0,CHEMICALS AND ALLIED PRODUCTS
2100,FGF,0,,,0,,
2101,TER,3674,3674.0,SEMICONDUCTORS AND RELATED DEVICES,36,36.0,"ELECTRONIC, ELCTRCL EQPMNT & CMPNTS, EXCPT COMPUTER EQPMNT"
2102,IZEA,7319,7319.0,"ADVERTISING, NEC",73,73.0,BUSINESS SERVICES
2103,PRTG,0,,,0,,
2104,SZZLU,0,,,0,,
2105,OSIS,3679,3679.0,"ELECTRONIC COMPONENTS, NEC",36,36.0,"ELECTRONIC, ELCTRCL EQPMNT & CMPNTS, EXCPT COMPUTER EQPMNT"
2106,SCVL,5661,5661.0,SHOE STORES,56,56.0,APPAREL AND ACCESSORY STORES
2107,SRCE,6022,6022.0,STATE COMMERCIAL BANKS,60,60.0,DEPOSITORY INSTITUTIONS
2108,INTA,0,,,0,,
2109,HZNP,2834,2834.0,PHARMACEUTICAL PREPARATIONS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
2110,RA,6282,6282.0,INVESTMENT ADVICE,62,62.0,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES"
2111,GILT,0,,,0,,
2112,DH,0,,,0,,
2113,ENR,3315,3315.0,STEEL WIRE AND RELATED PRODUCTS,33,33.0,PRIMARY METAL INDUSTRIES
2114,CPB,2032,2032.0,CANNED SPECIALTIES,20,20.0,FOOD AND KINDRED PRODUCTS
2115,STKS,5812,5812.0,EATING PLACES,58,58.0,EATING AND DRINKING PLACES
2116,RIBT,2044,2044.0,RICE MILLING,20,20.0,FOOD AND KINDRED PRODUCTS
2117,SNT,0,,,0,,
2118,ON,3674,3674.0,SEMICONDUCTORS AND RELATED DEVICES,36,36.0,"ELECTRONIC, ELCTRCL EQPMNT & CMPNTS, EXCPT COMPUTER EQPMNT"
2119,RMBL,5013,5013.0,MOTOR VEHICLE SUPPLIES AND NEW PARTS,50,50.0,WHOLESALE TRADE - DURABLE GOODS
2120,TWLVW,0,,,0,,
2121,OXLC,0,,,0,,
2122,EVLO,0,,,0,,
2123,NVX,0,,,0,,
2124,NTRA,8071,8071.0,MEDICAL LABORATORIES,80,80.0,HEALTH SERVICES
2125,BGCP,6211,6211.0,SECURITY BROKERS AND DEALERS,62,62.0,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES"
2126,MNTV,0,,,0,,
2127,DGII,3577,3577.0,"COMPUTER PERIPHERAL EQUIPMENT, NEC",35,35.0,INDUSTRIAL AND COMMERCIAL MACHINERY AND COMPUTER EQUIPMENT
2128,JCI,3714,3714.0,MOTOR VEHICLE PARTS AND ACCESSORIES,37,37.0,TRANSPORTATION EQUIPMENT
2129,QYLG,0,,,0,,
2130,IWF,0,,,0,,
2131,DTST,0,,,0,,
2132,RIOT,6799,6799.0,"INVESTORS, NEC",67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
2133,IQDY,0,,,0,,
2134,LYFT,0,,,0,,
2135,ALR,2835,2835.0,DIAGNOSTIC SUBSTANCES,28,28.0,CHEMICALS AND ALLIED PRODUCTS
2136,RIGL,2834,2834.0,PHARMACEUTICAL PREPARATIONS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
2137,ABRpD,0,,,0,,
2138,HST,6798,6798.0,REAL ESTATE INVESTMENT TRUSTS,67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
2139,PFFV,0,,,0,,
2140,TGAA,0,,,0,,
2141,SPDV,0,,,0,,
2142,TH,0,,,0,,
2143,MCSE,0,,,0,,
2144,JPMB,0,,,0,,
2145,IBTK,0,,,0,,
2146,JWN,5651,5651.0,FAMILY CLOTHING STORES,56,56.0,APPAREL AND ACCESSORY STORES
2147,NXN,6733,6733.0,"TRUSTS, NEC",67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
2148,GENE,2836,2836.0,"BIOLOGICAL PRODUCTS, EXCEPT DIAGNOSTIC",28,28.0,CHEMICALS AND ALLIED PRODUCTS
2149,MPW,6798,6798.0,REAL ESTATE INVESTMENT TRUSTS,67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
2150,MKTX,6211,6211.0,SECURITY BROKERS AND DEALERS,62,62.0,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES"
2151,EPV,0,,,0,,
2152,ACLX,0,,,0,,
2153,STK,6282,6282.0,INVESTMENT ADVICE,62,62.0,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES"
2154,STPZ,0,,,0,,
2155,ZENV,0,,,0,,
2156,GOGO,4899,4899.0,"COMMUNICATION SERVICES, NEC",48,48.0,COMMUNICATIONS
2157,UCBI,6022,6022.0,STATE COMMERCIAL BANKS,60,60.0,DEPOSITORY INSTITUTIONS
2158,SCWX,7379,7379.0,"COMPUTER RELATED SERVICES, NEC",73,73.0,BUSINESS SERVICES
2159,PFG,6371,6371.0,"PENSION, HEALTH, AND WELFARE FUNDS",63,63.0,INSURANCE CARRIERS
2160,CHGG,8299,8299.0,SCHOOLS AND EDUCATIONAL SERVICES,82,82.0,EDUCATIONAL SERVICES
2161,CRBP,2834,2834.0,PHARMACEUTICAL PREPARATIONS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
2162,KTTA,0,,,0,,
2163,SEV,3620,,,36,36.0,"ELECTRONIC, ELCTRCL EQPMNT & CMPNTS, EXCPT COMPUTER EQPMNT"
2164,ARHS,0,,,0,,
2165,CRAI,8111,8111.0,LEGAL SERVICES,81,81.0,LEGAL SERVICES
2166,SGEN,2836,2836.0,"BIOLOGICAL PRODUCTS, EXCEPT DIAGNOSTIC",28,28.0,CHEMICALS AND ALLIED PRODUCTS
2167,PBLA,0,,,0,,
2168,ICCC,2834,2834.0,PHARMACEUTICAL PREPARATIONS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
2169,JMSB,0,,,0,,
2170,FWRG,0,,,0,,
2171,EPSN,0,,,0,,
2172,BASE,0,,,0,,
2173,CHY,6282,6282.0,INVESTMENT ADVICE,62,62.0,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES"
2174,SYK,3841,3841.0,SURGICAL AND MEDICAL INSTRUMENTS,38,38.0,MESR/ANLYZ/CNTRL INSTRMNTS; PHOTO/MED/OPT GDS; WATCHS/CLOCKS
2175,NAT,4499,4499.0,"WATER TRANSPORTATION SERVICES, NEC",44,44.0,WATER TRANSPORTATION
2176,RNA,0,,,0,,
2177,BBBY,5719,5719.0,MISCELLANEOUS HOMEFURNISHINGS,57,57.0,"HOME FURNITURE, FURNISHINGS AND EQUIPMENT STORES"
2178,OPI,0,,,0,,
2179,LUCY,0,,,0,,
2180,AVCTW,0,,,0,,
2181,RING,0,,,0,,
2182,CAN,0,,,0,,
2183,VTWO,0,,,0,,
2184,WSC,6794,6794.0,PATENT OWNERS AND LESSORS,67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
2185,FATH.WS,0,,,0,,
2186,NXG,0,,,0,,
2187,IDRV,0,,,0,,
2188,WYNN,7011,7011.0,HOTELS AND MOTELS,70,70.0,"HOTELS, ROOMING HOUSES, CAMPS, AND OTHER LODGING PLACES"
2189,HELE,7299,7299.0,MISCELLANEOUS PERSONAL SERVICES,72,72.0,PERSONAL SERVICES
2190,IQMD,0,,,0,,
2191,PLUR,0,,,0,,
2192,HTGM,3826,3826.0,ANALYTICAL INSTRUMENTS,38,38.0,MESR/ANLYZ/CNTRL INSTRMNTS; PHOTO/MED/OPT GDS; WATCHS/CLOCKS
2193,BTBT,0,,,0,,
2194,FINW,0,,,0,,
2195,ASTE,3531,3531.0,CONSTRUCTION MACHINERY,35,35.0,INDUSTRIAL AND COMMERCIAL MACHINERY AND COMPUTER EQUIPMENT
2196,ESRT,6798,6798.0,REAL ESTATE INVESTMENT TRUSTS,67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
2197,SSKN,3841,3841.0,SURGICAL AND MEDICAL INSTRUMENTS,38,38.0,MESR/ANLYZ/CNTRL INSTRMNTS; PHOTO/MED/OPT GDS; WATCHS/CLOCKS
2198,FNKO,3944,3944.0,"GAMES, TOYS, AND CHILDREN'S VEHICLES",39,39.0,MISCELLANEOUS MANUFACTURING INDUSTRIES
2199,LAZR,0,,,0,,
2200,PTCT,2834,2834.0,PHARMACEUTICAL PREPARATIONS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
2201,DVN,1311,1311.0,CRUDE PETROLEUM AND NATURAL GAS,13,13.0,OIL AND GAS EXTRACTION
2202,AFRM,0,,,0,,
2203,TUYA,0,,,0,,
2204,ENTA,2835,2835.0,DIAGNOSTIC SUBSTANCES,28,28.0,CHEMICALS AND ALLIED PRODUCTS
2205,BJK,0,,,0,,
2206,YSEP,0,,,0,,
2207,MDGL,2834,2834.0,PHARMACEUTICAL PREPARATIONS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
2208,CVCY,6022,6022.0,STATE COMMERCIAL BANKS,60,60.0,DEPOSITORY INSTITUTIONS
2209,XWEL,0,,,0,,
2210,TURN,6799,6799.0,"INVESTORS, NEC",67,67.0,HOLDING AND OTHER INVESTMENT OFFICES
2211,VYNT,0,,,0,,
2212,VERY,0,,,0,,
2213,KNDI,3711,3711.0,MOTOR VEHICLES AND CAR BODIES,37,37.0,TRANSPORTATION EQUIPMENT
2214,GGLL,0,,,0,,
2215,BIVI,0,,,0,,
2216,PTEN,1381,1381.0,DRILLING OIL AND GAS WELLS,13,13.0,OIL AND GAS EXTRACTION
2217,IMPP,0,,,0,,
2218,QTWO,7379,7379.0,"COMPUTER RELATED SERVICES, NEC",73,73.0,BUSINESS SERVICES
2219,UEC,1094,1094.0,URANIUM-RADIUM-VANADIUM ORES,10,10.0,METAL MINING
2220,PROC,0,,,0,,
2221,GME,5734,5734.0,COMPUTER AND SOFTWARE STORES,57,57.0,"HOME FURNITURE, FURNISHINGS AND EQUIPMENT STORES"
2222,CEQPp,0,,,0,,
2223,VTYX,0,,,0,,
2224,VERBW,0,,,0,,
2225,CCBG,6022,6022.0,STATE COMMERCIAL BANKS,60,60.0,DEPOSITORY INSTITUTIONS
2226,BDC,3357,3357.0,NONFERROUS WIREDRAWING AND INSULATING,33,33.0,PRIMARY METAL INDUSTRIES
2227,CNSL,4813,4813.0,"TELEPHONE COMMUNICATION, EXCEPT RADIO",48,48.0,COMMUNICATIONS
2228,DSGX,7721,,,77,,
2229,KMDA,2834,2834.0,PHARMACEUTICAL PREPARATIONS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
2230,BHFAM,0,,,0,,
2231,PRDS,0,,,0,,
2232,CYAN,2099,2099.0,"FOOD PREPARATIONS, NEC",20,20.0,FOOD AND KINDRED PRODUCTS
2233,GOCO,0,,,0,,
2234,COWN,6211,6211.0,SECURITY BROKERS AND DEALERS,62,62.0,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES"
2235,GCMG,0,,,0,,
2236,FCAL,0,,,0,,
2237,GGROW,0,,,0,,
2238,ESPR,2834,2834.0,PHARMACEUTICAL PREPARATIONS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
2239,CHTR,4841,4841.0,CABLE AND OTHER PAY TELEVISION SERVICES,48,48.0,COMMUNICATIONS
2240,LHCG,8082,8082.0,HOME HEALTH CARE SERVICES,80,80.0,HEALTH SERVICES
2241,SGOL,1041,1041.0,GOLD ORES,10,10.0,METAL MINING
2242,APOG,1793,1793.0,GLASS AND GLAZING WORK,17,17.0,CONSTRUCTION - SPECIAL TRADE CONTRACTORS
2243,AQMS,4953,4953.0,REFUSE SYSTEMS,49,49.0,"ELECTRIC, GAS AND SANITARY SERVICES"
2244,BOSS,0,,,0,,
2245,MODG,0,,,0,,
2246,TMV,0,,,0,,
2247,FMET,0,,,0,,
2248,IYK,0,,,0,,
2249,RMTI,2834,2834.0,PHARMACEUTICAL PREPARATIONS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
2250,OLLI,5331,5331.0,VARIETY STORES,53,53.0,GENERAL MERCHANDISE STORES
2251,LFMD,0,,,0,,
2252,QQQA,0,,,0,,
2253,BIAF,0,,,0,,
2254,KALWW,0,,,0,,
2255,QQQM,0,,,0,,
2256,UIS,7373,7373.0,COMPUTER INTEGRATED SYSTEMS DESIGN,73,73.0,BUSINESS SERVICES
2257,PNFP,6021,6021.0,NATIONAL COMMERCIAL BANKS,60,60.0,DEPOSITORY INSTITUTIONS
2258,SMMF,6021,6021.0,NATIONAL COMMERCIAL BANKS,60,60.0,DEPOSITORY INSTITUTIONS
2259,LESL,0,,,0,,
2260,EGRX,2834,2834.0,PHARMACEUTICAL PREPARATIONS,28,28.0,CHEMICALS AND ALLIED PRODUCTS
2261,NSTG,2836,2836.0,"BIOLOGICAL PRODUCTS, EXCEPT DIAGNOSTIC",28,28.0,CHEMICALS AND ALLIED PRODUCTS
